PSP;NL
Globally, it is always the case that if brake_conditions_alert holds, then auto_accelerate_sensitivity = 82 holds as well.;IF brake conditions alert is on THEN auto accelerate sensitivity EQUAL to 82 %.
After need_revision, it is always the case that if older_driver holds, then send_seatbelt_alert eventually holds.;IF vehicle revision is needed AND older driver THEN send seatbelt alert.
Globally, it is never the case that road_slope = 3 holds.;road slope MUST NOT be EQUAL to 3 degrees.
Globally, it is never the case that vertical_vision_distance > traffic_flow_speed holds.;vertical vision distance behind driver MUST NOT be GREATER THAN traffic flow speed.
Globally, it is always the case that monitor_background_luminance <= 0.6 holds.;monitor background luminance is EQUAL or LESS THAN 0.6 cd/m2.
Globally, it is never the case that monitor_background_luminance >= traffic_flow_speed holds.;monitor background luminance MUST NOT be EQUAL or GREATER THAN traffic flow speed.
After approaching_vehicle_velocity = 26 and perceived_light_sources_number < 2, it is always the case that air_conditioning holds.;IF velocity of approaching vehicle is EQUAL to 26 km/h AND number of perceived light sources is LESS THAN 2 THEN activate air conditioning.
Globally, it is never the case that luminance = 1.3 holds.;luminance MUST NOT be EQUAL to 1.3 lx.
After max_acceleration > 4, it is always the case that if perceived_light_sources_number > 3 holds, then air_conditioning holds as well.;IF maximum possible acceleration is GREATER THAN 4 m/s2 AND number of perceived light sources is GREATER THAN 3 THEN activate air conditioning.
Globally, it is always the case that fuel_level > oil_level holds.;fuel level is GREATER THAN oil level.
After HDR, it is always the case that if camera_defrost_system holds, then send_coolant_level_alert eventually holds.;IF enable HDR AND camera defrost system THEN send coolant level alert.
Globally, it is never the case that wind_speed > 100 holds.;wind speed MUST NOT be GREATER THAN 100 km/h.
Globally, it is always the case that vertical_longitudinal_median_plane > 151 holds.;vertical longitudinal median plane is GREATER THAN 151 m.
After inter_light_sources_distance > 1.8, it is always the case that if engine_overheat_alert holds, then MIN_MF >= 0.5 eventually holds.;IF distance between light sources is GREATER THAN 1.8 m AND engine overheat alert is on THEN minimum magnification factor MUST be EQUAL or GREATER THAN 0.5.
After rain, it is always the case that eco_mode and signal_lamp_event holds.;IF is raining THEN activate eco mode AND signal-lamp.
After need_revision, it is always the case that if engine_temperature >= 33 holds, then night_light_state holds as well.;IF vehicle revision is needed AND engine temperature is EQUAL or GREATER THAN 33 C THEN night light condition.
Globally, it is always the case that required_field_vision < 31 holds.;required field of vision is LESS THAN 31 m.
Globally, it is always the case that if engine_rpm <= 4100 and camera_defrost_system holds, then wiper_speed > 2 holds as well.;IF engine RPM is EQUAL or LESS THAN 4100 rpm AND camera defrost system THEN wiper speed CAN be GREATER THAN 2 rpm.
Globally, it is always the case that if display_area <= 55 holds, then emergency_record holds as well.;IF display area is EQUAL or LESS THAN 55 m THEN record an emergency video.
Globally, it is never the case that camera_number <= 2 holds.;camera number MUST NOT be EQUAL or LESS THAN 2.
Globally, it is always the case that if distance_center_lane = 3 holds, then zoom_level >= 9 holds as well.;IF distance from center lane is EQUAL to 3 m THEN camera zoom level MUST be EQUAL or GREATER THAN 9 x.
After wind_speed > 58, it is always the case that if turning holds, then send_engine_conditions_alert holds as well.;IF wind speed is GREATER THAN 58 km/h AND vehicle is turning THEN send engine conditions alert.
After seatbelt_alert, it is always the case that if tire_pressure > 3 holds, then vertical_vision_distance <= 34 holds as well.;IF seatbelt alert is on AND tire pressure is GREATER THAN 3 psi THEN vertical vision distance behind driver MUST be EQUAL or LESS THAN 34 m.
After oil_change_alert and old_road, it is always the case that send_sleeping_alert and antifog_lights holds.;IF oil change alert is on AND old road THEN send sleeping alert AND activate antifog lights.
Globally, it is always the case that if overtaking and NN_clean_image_result = 0 holds, then send_sleeping_alert holds as well.;IF the vehicle is overtaking AND clean process algorithm result is EQUAL to 0 THEN send sleeping alert.
After camera_obstruction, it is always the case that if traffic_density = 40 holds, then send_speeding_alert holds as well.;IF camera is obstructed AND traffic density is EQUAL to 40 vehicles/km THEN send speeding alert.
After older_driver, it is always the case that if low_gps_signal holds, then send_low_fuel_alert holds as well.;IF older driver AND GPS signal is low THEN send low fuel alert.
Globally, it is always the case that if max_speed_limit < 95 and engine_rpm >= 5700 holds, then send_battery_charge_alert and auto_dimming eventually holds.;IF maximum speed limit is LESS THAN 95 km/h AND engine RPM is EQUAL or GREATER THAN 5700 rpm THEN send battery charge alert AND activate auto dimming.
Globally, it is always the case that if park_assist holds, then vertical_vision < 1 and warning_emergency holds as well.;IF park assist is activated THEN vertical vision CAN be LESS THAN 1 m AND send warning emergency vehicle.
After send_alert, it is always the case that if low_gps_signal holds, then zoom_out eventually holds.;IF send generic alert AND GPS signal is low THEN zoom out the camera.
Globally, it is never the case that brake_fluid_level <= 10 holds.;brake fluid level MUST NOT be EQUAL or LESS THAN 10 %.
Globally, it is always the case that approaching_vehicle_velocity >= 13 holds.;velocity of approaching vehicle is EQUAL or GREATER THAN 13 km/h.
After send_tire_pressure_alert, it is always the case that if behind_passengers_seatbelt holds, then send_collision_alert eventually holds.;IF send tire pressure alert AND the passengers behind are wearing seatbelts THEN send collision alert.
Globally, it is always the case that if gps_signal = 5 holds, then camera_defrost_system and send_engine_conditions_alert holds as well.;IF GPS signal strength is EQUAL to 5 dBm THEN camera defrost system AND send engine conditions alert.
Globally, it is always the case that if cruise_control_speed = 97 holds, then send_brake_conditions_alert and send_oil_change_alert eventually holds.;IF cruise control speed is EQUAL to 97 km/h THEN send brake conditions alert AND send oil change alert.
Globally, it is always the case that if video_number >= 1 holds, then send_tire_pressure_alert eventually holds.;IF number of videos displayed is EQUAL or GREATER THAN 1 THEN send tire pressure alert.
After MIN_MF = 0.4, it is always the case that if standard_driver holds, then auto_break_sensitivity > 81 eventually holds.;IF minimum magnification factor is EQUAL to 0.4 AND standard driver THEN auto break sensitivity CAN be GREATER THAN 81 %.
After send_brake_conditions_alert, it is always the case that if monitor_luminance_ratio = 142 holds, then door_locking eventually holds.;IF send brake conditions alert AND monitor luminance ratio is EQUAL to 142 THEN lock the doors.
Globally, it is always the case that if light_sources_number <= 3 and sunset_light_state holds, then send_brake_conditions_alert eventually holds.;IF number of light sources is EQUAL or LESS THAN 3 AND sunset light condition THEN send brake conditions alert.
Globally, it is always the case that monitor_luminance_ratio < 139 holds.;monitor luminance ratio is LESS THAN 139.
After blind_spot and engine_temperature < 102, it is always the case that blind_spot holds.;IF object on blind spot AND engine temperature is LESS THAN 102 C THEN object on blind spot.
After climate_control_setting > 25, it is always the case that if driver_side holds, then air_conditioning eventually holds.;IF climate control setting is GREATER THAN 25 C AND the driver side is occupied THEN activate air conditioning.
After fuel_level <= 93, it is always the case that if washer_fluid_level <= 92 holds, then cruise_control_speed >= 114 holds as well.;IF fuel level is EQUAL or LESS THAN 93 % AND washer fluid level is EQUAL or LESS THAN 92 % THEN cruise control speed MUST be EQUAL or GREATER THAN 114 km/h.
Globally, it is never the case that length_driven >= 94099 holds.;total length driven by the vehicle MUST NOT be EQUAL or GREATER THAN 94099 km.
Globally, it is never the case that approaching_vehicle_velocity <= 15 holds.;velocity of approaching vehicle MUST NOT be EQUAL or LESS THAN 15 km/h.
After vertical_vision >= 14, it is always the case that if distance_center_lane = 1 holds, then camera_defrost_system holds as well.;IF vertical vision is EQUAL or GREATER THAN 14 m AND distance from center lane is EQUAL to 1 m THEN camera defrost system.
Globally, it is always the case that if backing_up and low_gps_signal holds, then wiper_speed >= 4 and warning_emergency holds as well.;IF vehicle is backing up AND GPS signal is low THEN wiper speed MUST be EQUAL or GREATER THAN 4 rpm AND send warning emergency vehicle.
Globally, it is always the case that if wind_speed <= 66 and backing_up holds, then eco_mode and send_tire_pressure_alert eventually holds.;IF wind speed is EQUAL or LESS THAN 66 km/h AND vehicle is backing up THEN activate eco mode AND send tire pressure alert.
Globally, it is never the case that horizontal_vision < 19 holds.;horizontal vision MUST NOT be LESS THAN 19 m.
After accelerating, it is always the case that if perceived_light_sources_number = 3 holds, then eco_mode eventually holds.;IF the vehicle is accelerating AND number of perceived light sources is EQUAL to 3 THEN activate eco mode.
After vertical_vision < 10, it is always the case that if night_light_state holds, then blind_spot eventually holds.;IF vertical vision is LESS THAN 10 m AND night light condition THEN object on blind spot.
Globally, it is never the case that distance_center_lane < 3 holds.;distance from center lane MUST NOT be LESS THAN 3 m.
Globally, it is never the case that light_sources_number > 3 holds.;number of light sources MUST NOT be GREATER THAN 3.
Globally, it is always the case that zoom_level < 5 holds.;camera zoom level is LESS THAN 5 x.
Globally, it is always the case that battery_charge >= 80 holds.;battery charge is EQUAL or GREATER THAN 80 %.
Globally, it is always the case that traffic_flow_speed = 74 holds.;traffic flow speed is EQUAL to 74 km/h.
Globally, it is never the case that cruise_control_speed = tire_pressure holds.;cruise control speed MUST NOT be EQUAL to tire pressure.
Globally, it is always the case that if traffic_flow_speed = 79 holds, then minimum_distance < 7 and emergency_brake eventually holds.;IF traffic flow speed is EQUAL to 79 km/h THEN minimum distance from vehicle in front CAN be LESS THAN 7 m AND activate emergency brake.
Globally, it is always the case that if brake_fluid_level >= 44 holds, then perceived_light_sources_number >= 1 eventually holds.;IF brake fluid level is EQUAL or GREATER THAN 44 % THEN number of perceived light sources MUST be EQUAL or GREATER THAN 1.
Globally, it is never the case that oil_level < 52 holds.;oil level MUST NOT be LESS THAN 52 %.
After horizontal_vision > 11, it is always the case that if NN_clean_processing holds, then climate_control_setting >= 21 holds as well.;IF horizontal vision is GREATER THAN 11 m AND enable digital clean image processing algorithm THEN climate control setting MUST be EQUAL or GREATER THAN 21 C.
After radio_volume <= 3, it is always the case that send_brake_conditions_alert holds.;IF radio volume is EQUAL or LESS THAN 3 dB THEN send brake conditions alert.
Globally, it is never the case that cruise_control_speed < 108 holds.;cruise control speed MUST NOT be LESS THAN 108 km/h.
Globally, it is always the case that if low_gps_signal holds, then cruise_control_speed < 48 eventually holds.;IF GPS signal is low THEN cruise control speed CAN be LESS THAN 48 km/h.
Globally, it is always the case that if cruise_control and fog_density > 51 holds, then send_airbag_conditions_alert holds as well.;IF cruise control is activated AND fog density is GREATER THAN 51 % THEN send airbag conditions alert.
Globally, it is always the case that if gps_signal = 3 holds, then object_detection holds as well.;IF GPS signal strength is EQUAL to 3 dBm THEN object is detected.
Globally, it is always the case that luminance >= 3.2 holds.;luminance is EQUAL or GREATER THAN 3.2 lx.
Globally, it is always the case that if approaching_vehicle_in_blind_spot and reversing holds, then warning_emergency holds as well.;IF approaching vehicle in blind spot AND the vehicle is reversing THEN send warning emergency vehicle.
Globally, it is always the case that if fuel_level > 38 and battery_charge >= 12 holds, then monitor_luminance_ratio < 143 and send_low_fuel_alert eventually holds.;IF fuel level is GREATER THAN 38 % AND battery charge is EQUAL or GREATER THAN 12 % THEN monitor luminance ratio CAN be LESS THAN 143 AND send low fuel alert.
Globally, it is always the case that if behind_passengers_seatbelt and engine_rpm < 7700 holds, then engine_efficiency >= 79 and antifog_lights holds as well.;IF the passengers behind are wearing seatbelts AND engine RPM is LESS THAN 7700 rpm THEN engine efficiency MUST be EQUAL or GREATER THAN 79 % AND activate antifog lights.
After behind_passengers >= 2, it is always the case that wiper_speed > 2 and defrosting holds.;IF the number of passengers seat behind is EQUAL or GREATER THAN 2 people THEN wiper speed CAN be GREATER THAN 2 rpm AND defrosting.
Globally, it is always the case that if need_revision and overtaking holds, then required_maintenance and wiper_speed < 2 holds as well.;IF vehicle revision is needed AND the vehicle is overtaking THEN the vehicle requires maintenance AND wiper speed CAN be LESS THAN 2 rpm.
After steering_adjustment, it is always the case that if camera_defrost_system holds, then airbag_deploy holds as well.;IF steering adjustment AND camera defrost system THEN activate airbag deployment.
Globally, it is always the case that if coolant_level_alert and engine_overheat_alert holds, then warning_emergency and stay_in_lane holds as well.;IF coolant level alert is on AND engine overheat alert is on THEN send warning emergency vehicle AND activate stay in lane algorithm.
After turning, it is always the case that camera_defrost_system and send_oil_change_alert holds.;IF vehicle is turning THEN camera defrost system AND send oil change alert.
After send_tire_pressure_alert, it is always the case that if light_sources_distance = 250 holds, then NN_clean_image_result >= 0 eventually holds.;IF send tire pressure alert AND distance of light sources is EQUAL to 250 m THEN clean process algorithm result MUST be EQUAL or GREATER THAN 0.
Globally, it is always the case that if approaching_vehicle_velocity > 21 holds, then antifog_lights holds as well.;IF velocity of approaching vehicle is GREATER THAN 21 km/h THEN activate antifog lights.
After sunset_light_state, it is always the case that if automatic_luminance_contrast_adjustment holds, then stay_in_lane eventually holds.;IF sunset light condition AND automatic luminance contrast adjustment THEN activate stay in lane algorithm.
Globally, it is always the case that wind_speed <= 94 holds.;wind speed is EQUAL or LESS THAN 94 km/h.
After tire_rotation_alert and accelerating, it is always the case that perceived_light_sources_number > 1 and steering_adjustment holds.;IF tire rotation alert is on AND the vehicle is accelerating THEN number of perceived light sources CAN be GREATER THAN 1 AND steering adjustment.
After headlight_intensity >= 61, it is always the case that if distraction_alert holds, then perceived_light_sources_number <= 3 eventually holds.;IF headlight intensity is EQUAL or GREATER THAN 61 % AND distraction alert is on THEN number of perceived light sources MUST be EQUAL or LESS THAN 3.
Globally, it is never the case that video_number < 5 holds.;number of videos displayed MUST NOT be LESS THAN 5.
Globally, it is always the case that if horizontal_vision < 1 and driver_side holds, then send_seatbelt_alert and antifog_lights holds as well.;IF horizontal vision is LESS THAN 1 m AND the driver side is occupied THEN send seatbelt alert AND activate antifog lights.
After fuel_level < 63, it is always the case that if fuel_level < 31 holds, then send_collision_alert eventually holds.;IF fuel level is LESS THAN 63 % AND fuel level is LESS THAN 31 % THEN send collision alert.
After monitor_luminance_ratio < 185, it is always the case that if brake_conditions_alert holds, then camera_defrost_system eventually holds.;IF monitor luminance ratio is LESS THAN 185 AND brake conditions alert is on THEN camera defrost system.
After seatbelt_alert and vertical_longitudinal_median_plane >= 22, it is always the case that perceived_light_sources_number >= 3 holds.;IF seatbelt alert is on AND vertical longitudinal median plane is EQUAL or GREATER THAN 22 m THEN number of perceived light sources MUST be EQUAL or GREATER THAN 3.
Globally, it is always the case that engine_efficiency >= light_sources_distance holds.;engine efficiency is EQUAL or GREATER THAN distance of light sources.
Globally, it is always the case that radio_volume <= 18 holds.;radio volume is EQUAL or LESS THAN 18 dB.
After light_sources_intensity <= 1536, it is always the case that if display_area = 86 holds, then send_low_fuel_alert holds as well.;IF intensity of light sources is EQUAL or LESS THAN 1536 cd AND display area is EQUAL to 86 m THEN send low fuel alert.
Globally, it is always the case that oil_level > 11 holds.;oil level is GREATER THAN 11 %.
Globally, it is always the case that if NN_clean_image_result = 0 holds, then zoom_level >= 4 eventually holds.;IF clean process algorithm result is EQUAL to 0 THEN camera zoom level MUST be EQUAL or GREATER THAN 4 x.
After camera_defrost_system, it is always the case that if vertical_longitudinal_median_plane < 148 holds, then send_alert eventually holds.;IF camera defrost system AND vertical longitudinal median plane is LESS THAN 148 m THEN send generic alert.
Globally, it is always the case that tire_pressure > 7 holds.;tire pressure is GREATER THAN 7 psi.
Globally, it is always the case that if brake_fluid_level = 87 holds, then auto_accelerate_sensitivity = 15 holds as well.;IF brake fluid level is EQUAL to 87 % THEN auto accelerate sensitivity EQUAL to 15 %.
Globally, it is never the case that coolant_level = washer_fluid_level holds.;coolant level MUST NOT be EQUAL to washer fluid level.
Globally, it is always the case that if coolant_level_alert and auto_accelerate holds, then camera_defrost_system eventually holds.;IF coolant level alert is on AND auto accelerate is activated THEN camera defrost system.
Globally, it is always the case that if cruise_control_speed >= 67 and turning holds, then send_seatbelt_alert and horn eventually holds.;IF cruise control speed is EQUAL or GREATER THAN 67 km/h AND vehicle is turning THEN send seatbelt alert AND activate horn.
Globally, it is never the case that required_field_vision < 77 holds.;required field of vision MUST NOT be LESS THAN 77 m.
After fuel_level <= 55, it is always the case that zoom_out holds.;IF fuel level is EQUAL or LESS THAN 55 % THEN zoom out the camera.
After climate_control_setting <= 18, it is always the case that if park_assist holds, then call_emergency holds as well.;IF climate control setting is EQUAL or LESS THAN 18 C AND park assist is activated THEN call emergency services.
After vertical_vision >= 10, it is always the case that if length_driven >= 97701 holds, then zoom_level >= 2 holds as well.;IF vertical vision is EQUAL or GREATER THAN 10 m AND total length driven by the vehicle is EQUAL or GREATER THAN 97701 km THEN camera zoom level MUST be EQUAL or GREATER THAN 2 x.
Globally, it is never the case that monitor_background_luminance = 0.9 holds.;monitor background luminance MUST NOT be EQUAL to 0.9 cd/m2.
After ABS_activation, it is always the case that if tire_rotation_alert holds, then send_tire_pressure_alert holds as well.;IF ABS is activated AND tire rotation alert is on THEN send tire pressure alert.
Globally, it is always the case that auto_break_sensitivity > 99 holds.;auto break sensitivity is GREATER THAN 99 %.
After camera_number <= 2, it is always the case that if brake_conditions_alert holds, then object_detection holds as well.;IF camera number is EQUAL or LESS THAN 2 AND brake conditions alert is on THEN object is detected.
Globally, it is always the case that auto_accelerate_sensitivity <= 96 holds.;auto accelerate sensitivity is EQUAL or LESS THAN 96 %.
After vertical_vision >= 10, it is always the case that if tire_pressure_alert holds, then antifog_lights eventually holds.;IF vertical vision is EQUAL or GREATER THAN 10 m AND tire pressure alert is on THEN activate antifog lights.
Globally, it is always the case that camera_number < 4 holds.;camera number is LESS THAN 4.
Globally, it is always the case that engine_efficiency = max_acceleration holds.;engine efficiency is EQUAL to maximum possible acceleration.
Globally, it is always the case that if light_sources_distance >= 103 and behind_passengers > 1 holds, then climate_control_setting <= 19 eventually holds.;IF distance of light sources is EQUAL or GREATER THAN 103 m AND the number of passengers seat behind is GREATER THAN 1 people THEN climate control setting MUST be EQUAL or LESS THAN 19 C.
Globally, it is never the case that zoom_level <= 9 holds.;camera zoom level MUST NOT be EQUAL or LESS THAN 9 x.
Globally, it is always the case that if light_sources_number > 3 holds, then emergency_record and parking_camera holds as well.;IF number of light sources is GREATER THAN 3 THEN record an emergency video AND parking camera is activated.
Globally, it is always the case that if diffuse_light and passenger_seatbelt holds, then send_speeding_alert and parking_camera eventually holds.;IF diffuse light AND the passenger is wearing the seatbelt THEN send speeding alert AND parking camera is activated.
Globally, it is always the case that perceived_light_sources_number >= 2 holds.;number of perceived light sources is EQUAL or GREATER THAN 2.
After light_sources_intensity <= 1644, it is always the case that if road_curvature >= 156 holds, then auto_accelerate_sensitivity < 82 holds as well.;IF intensity of light sources is EQUAL or LESS THAN 1644 cd AND road curvature is EQUAL or GREATER THAN 156 degrees THEN auto accelerate sensitivity CAN be LESS THAN 82 %.
Globally, it is always the case that if adjust_default_view and park_assist holds, then object_detection holds as well.;IF adjust default view AND park assist is activated THEN object is detected.
After need_revision, it is always the case that if driver_side holds, then send_camera_obstruction_alert eventually holds.;IF vehicle revision is needed AND the driver side is occupied THEN send camera obstruction alert.
Globally, it is always the case that if distraction_alert and auto_break holds, then full_beam eventually holds.;IF distraction alert is on AND auto break is activated THEN activate full beam lights.
Globally, it is never the case that washer_fluid_level >= 82 holds.;washer fluid level MUST NOT be EQUAL or GREATER THAN 82 %.
Globally, it is always the case that if unpaved_road holds, then zoom_out and full_beam holds as well.;IF unpaved road THEN zoom out the camera AND activate full beam lights.
After backing_up, it is always the case that if length_driven = 95656 holds, then NN_clean_image_result > 0 holds as well.;IF vehicle is backing up AND total length driven by the vehicle is EQUAL to 95656 km THEN clean process algorithm result CAN be GREATER THAN 0.
After display_area >= 55 and passenger_seatbelt, it is always the case that horizontal_vision > 14 and send_seatbelt_alert holds.;IF display area is EQUAL or GREATER THAN 55 m AND the passenger is wearing the seatbelt THEN horizontal vision CAN be GREATER THAN 14 m AND send seatbelt alert.
Globally, it is always the case that gps_signal >= 7 holds.;GPS signal strength is EQUAL or GREATER THAN 7 dBm.
After coolant_level_alert and horizontal_vision > 5, it is always the case that auto_accelerate_sensitivity = 2 and call_emergency holds.;IF coolant level alert is on AND horizontal vision is GREATER THAN 5 m THEN auto accelerate sensitivity EQUAL to 2 % AND call emergency services.
After on_left_lane, it is always the case that if NN_clean_processing holds, then send_tire_pressure_alert holds as well.;IF the vehicle is in the left lane AND enable digital clean image processing algorithm THEN send tire pressure alert.
After zoom_out, it is always the case that if direct_sunlight_state holds, then object_detection eventually holds.;IF zoom out the camera AND state of direct sunlight THEN object is detected.
After driver_seatbelt, it is always the case that if washer_fluid_level > 67 holds, then emergency_brake eventually holds.;IF the driver is wearing the seatbelt AND washer fluid level is GREATER THAN 67 % THEN activate emergency brake.
Globally, it is always the case that if traffic_flow_speed <= 127 and brake_conditions_alert holds, then lock_steering and monitor_background_luminance = 0.8 holds as well.;IF traffic flow speed is EQUAL or LESS THAN 127 km/h AND brake conditions alert is on THEN lock steering AND monitor background luminance EQUAL to 0.8 cd/m2.
Globally, it is always the case that if fog_density > 44 holds, then NN_clean_image_result > 0 and headlight_intensity >= 13 holds as well.;IF fog density is GREATER THAN 44 % THEN clean process algorithm result CAN be GREATER THAN 0 AND headlight intensity MUST be EQUAL or GREATER THAN 13 %.
Globally, it is never the case that min_speed_limit <= 120 holds.;minimum speed limit MUST NOT be EQUAL or LESS THAN 120 km/h.
After MIN_MF = 0.3, it is always the case that if distance_center_lane > 3 holds, then NN_clean_image_result < 0 holds as well.;IF minimum magnification factor is EQUAL to 0.3 AND distance from center lane is GREATER THAN 3 m THEN clean process algorithm result CAN be LESS THAN 0.
After send_airbag_conditions_alert, it is always the case that if park_assist holds, then send_coolant_level_alert eventually holds.;IF send airbag conditions alert AND park assist is activated THEN send coolant level alert.
After send_collision_alert, it is always the case that if overtaking holds, then monitor_background_luminance >= 0.8 holds as well.;IF send collision alert AND the vehicle is overtaking THEN monitor background luminance MUST be EQUAL or GREATER THAN 0.8 cd/m2.
After signal_lamp_event, it is always the case that if tire_pressure_alert holds, then send_battery_charge_alert eventually holds.;IF signal-lamp AND tire pressure alert is on THEN send battery charge alert.
After driver_seatbelt, it is always the case that if fuel_level >= 49 holds, then cruise_control_speed = 56 holds as well.;IF the driver is wearing the seatbelt AND fuel level is EQUAL or GREATER THAN 49 % THEN cruise control speed EQUAL to 56 km/h.
Globally, it is never the case that approaching_vehicle_velocity >= engine_temperature holds.;velocity of approaching vehicle MUST NOT be EQUAL or GREATER THAN engine temperature.
After collision_alert, it is always the case that send_camera_obstruction_alert and need_revision holds.;IF collision alert is on THEN send camera obstruction alert AND vehicle revision is needed.
Globally, it is always the case that radio_volume > temperature holds.;radio volume is GREATER THAN temperature.
After turning, it is always the case that send_collision_alert and zoom_in holds.;IF vehicle is turning THEN send collision alert AND zoom in the camera.
Globally, it is always the case that if engine_temperature < 43 and display_area > 34 holds, then minimum_distance < 9 eventually holds.;IF engine temperature is LESS THAN 43 C AND display area is GREATER THAN 34 m THEN minimum distance from vehicle in front CAN be LESS THAN 9 m.
Globally, it is never the case that auto_break_sensitivity < 68 holds.;auto break sensitivity MUST NOT be LESS THAN 68 %.
Globally, it is always the case that if light_sources_distance = 466 holds, then minimum_distance >= 17 and signal_lamp_event holds as well.;IF distance of light sources is EQUAL to 466 m THEN minimum distance from vehicle in front MUST be EQUAL or GREATER THAN 17 m AND signal-lamp.
Globally, it is always the case that if inter_light_sources_distance > 1.2 holds, then camera_defrost_system holds as well.;IF distance between light sources is GREATER THAN 1.2 m THEN camera defrost system.
After air_conditioning, it is always the case that if camera_number <= 2 holds, then send_collision_alert eventually holds.;IF activate air conditioning AND camera number is EQUAL or LESS THAN 2 THEN send collision alert.
Globally, it is always the case that if traffic_flow_speed = 40 and park_assist holds, then defrosting and steering_adjustment eventually holds.;IF traffic flow speed is EQUAL to 40 km/h AND park assist is activated THEN defrosting AND steering adjustment.
Globally, it is never the case that monitor_background_luminance < max_speed_limit holds.;monitor background luminance MUST NOT be LESS THAN maximum speed limit.
Globally, it is never the case that required_field_vision = 66 holds.;required field of vision MUST NOT be EQUAL to 66 m.
Globally, it is never the case that perceived_light_sources_number <= temperature holds.;number of perceived light sources MUST NOT be EQUAL or LESS THAN temperature.
After tire_rotation <= -8, it is always the case that vertical_vision > 8 holds.;IF tire rotation is EQUAL or LESS THAN -8 degrees THEN vertical vision CAN be GREATER THAN 8 m.
After door_locking, it is always the case that if getting_overtaken holds, then send_washer_fluid_level_alert eventually holds.;IF lock the doors AND the vehicle is getting overtaken THEN send washer fluid level alert.
After night_light_state, it is always the case that if traffic_flow_speed = 57 holds, then minimum_distance = 7 eventually holds.;IF night light condition AND traffic flow speed is EQUAL to 57 km/h THEN minimum distance from vehicle in front EQUAL to 7 m.
Globally, it is always the case that engine_rpm > 4600 holds.;engine RPM is GREATER THAN 4600 rpm.
Globally, it is never the case that length_driven <= 1292 holds.;total length driven by the vehicle MUST NOT be EQUAL or LESS THAN 1292 km.
Globally, it is always the case that if washer_fluid_level > 16 and perceived_light_sources_number >= 1 holds, then air_conditioning and door_locking eventually holds.;IF washer fluid level is GREATER THAN 16 % AND number of perceived light sources is EQUAL or GREATER THAN 1 THEN activate air conditioning AND lock the doors.
After send_tire_rotation_alert, it is always the case that if direct_sunlight_state holds, then steering_adjustment eventually holds.;IF send tire rotation alert AND state of direct sunlight THEN steering adjustment.
After antifog_lights, it is always the case that if approaching_vehicle_distance < 12 holds, then climate_control_setting > 18 eventually holds.;IF activate antifog lights AND distance of approaching vehicle is LESS THAN 12 m THEN climate control setting CAN be GREATER THAN 18 C.
Globally, it is never the case that auto_accelerate_sensitivity > 100 holds.;auto accelerate sensitivity MUST NOT be GREATER THAN 100 %.
Globally, it is never the case that gps_signal > 9 holds.;GPS signal strength MUST NOT be GREATER THAN 9 dBm.
Globally, it is always the case that if light_sources_distance >= 284 and low_fuel_alert holds, then NN_clean_image_result = 0 and blind_spot holds as well.;IF distance of light sources is EQUAL or GREATER THAN 284 m AND low fuel alert is on THEN clean process algorithm result EQUAL to 0 AND object on blind spot.
Globally, it is always the case that if engine_rpm > 7300 and rain holds, then perceived_light_sources_number > 3 and send_battery_charge_alert holds as well.;IF engine RPM is GREATER THAN 7300 rpm AND is raining THEN number of perceived light sources CAN be GREATER THAN 3 AND send battery charge alert.
After warning_emergency, it is always the case that if sleeping_alert holds, then camera_defrost_system eventually holds.;IF send warning emergency vehicle AND sleeping alert is on THEN camera defrost system.
Globally, it is always the case that if climate_control_setting = 19 and standard_driver holds, then send_speeding_alert eventually holds.;IF climate control setting is EQUAL to 19 C AND standard driver THEN send speeding alert.
After passenger_seatbelt and low_fuel_alert, it is always the case that zoom_level >= 6 holds.;IF the passenger is wearing the seatbelt AND low fuel alert is on THEN camera zoom level MUST be EQUAL or GREATER THAN 6 x.
Globally, it is always the case that display_area >= 53 holds.;display area is EQUAL or GREATER THAN 53 m.
Globally, it is never the case that auto_accelerate_sensitivity <= 0 holds.;auto accelerate sensitivity MUST NOT be EQUAL or LESS THAN 0 %.
Globally, it is always the case that approaching_vehicle_distance = 11 holds.;distance of approaching vehicle is EQUAL to 11 m.
After old_road, it is always the case that if radio_volume > 16 holds, then send_speeding_alert holds as well.;IF old road AND radio volume is GREATER THAN 16 dB THEN send speeding alert.
After traffic_density > 95, it is always the case that if engine_overheat_alert holds, then zoom_out eventually holds.;IF traffic density is GREATER THAN 95 vehicles/km AND engine overheat alert is on THEN zoom out the camera.
After traffic_density < 43 and traffic_flow_speed >= 46, it is always the case that send_engine_conditions_alert and send_brake_conditions_alert holds.;IF traffic density is LESS THAN 43 vehicles/km AND traffic flow speed is EQUAL or GREATER THAN 46 km/h THEN send engine conditions alert AND send brake conditions alert.
Globally, it is always the case that if traffic_flow_speed >= 75 and need_revision holds, then object_detection eventually holds.;IF traffic flow speed is EQUAL or GREATER THAN 75 km/h AND vehicle revision is needed THEN object is detected.
After traffic_flow_speed > 102, it is always the case that if traffic_density >= 56 holds, then full_beam holds as well.;IF traffic flow speed is GREATER THAN 102 km/h AND traffic density is EQUAL or GREATER THAN 56 vehicles/km THEN activate full beam lights.
After luminance < 3.2, it is always the case that emergency_brake holds.;IF luminance is LESS THAN 3.2 lx THEN activate emergency brake.
